fare_type,applicable_time,distance,fare_per_ride,Min,Max
Senior citizen card fare,All other timings,3.3 km - 4.2 km,72,3.3,4.2
Senior citizen card fare,All other timings,4.3 km - 5.2 km,80,4.3,5.2
Senior citizen card fare,All other timings,5.3 km - 6.2 km,87,5.3,6.2
Senior citizen card fare,All other timings,6.3 km - 7.2 km,93,6.3,7.2
Senior citizen card fare,All other timings,7.3 km - 8.2 km,99,7.3,8.2
Senior citizen card fare,All other timings,8.3 km - 9.2 km,99,8.3,9.2
Senior citizen card fare,All other timings,9.3 km - 10.2 km,99,9.3,10.2
Senior citizen card fare,All other timings,10.3 km - 11.2 km,99,10.3,11.2
Senior citizen card fare,All other timings,11.3 km - 12.2 km,99,11.3,12.2
Senior citizen card fare,All other timings,12.3 km - 13.2 km,99,12.3,13.2
Senior citizen card fare,All other timings,13.3 km - 14.2 km,99,13.3,14.2
Senior citizen card fare,All other timings,14.3 km - 15.2 km,99,14.3,15.2
Senior citizen card fare,All other timings,15.3 km - 16.2 km,99,15.3,16.2
Senior citizen card fare,All other timings,16.3 km - 17.2 km,99,16.3,17.2
Senior citizen card fare,All other timings,17.3 km - 18.2 km,99,17.3,18.2
Senior citizen card fare,All other timings,18.3 km - 19.2 km,99,18.3,19.2
Senior citizen card fare,All other timings,19.3 km - 20.2 km,99,19.3,20.2
Senior citizen card fare,All other timings,20.3 km - 21.2 km,99,20.3,21.2
Senior citizen card fare,All other timings,21.3 km - 22.2 km,99,21.3,22.2
Senior citizen card fare,All other timings,22.3 km - 23.2 km,99,22.3,23.2
Senior citizen card fare,All other timings,23.3 km - 24.2 km,99,23.3,24.2
Senior citizen card fare,All other timings,24.3 km - 25.2 km,99,24.3,25.2
Senior citizen card fare,All other timings,25.3 km - 26.2 km,99,25.3,26.2
Senior citizen card fare,All other timings,26.3 km - 27.2 km,99,26.3,27.2
Senior citizen card fare,All other timings,27.3 km - 28.2 km,99,27.3,28.2
Senior citizen card fare,All other timings,28.3 km - 29.2 km,99,28.3,29.2
Senior citizen card fare,All other timings,29.3 km - 30.2 km,99,29.3,30.2
Senior citizen card fare,All other timings,30.3 km - 31.2 km,99,30.3,31.2
Senior citizen card fare,All other timings,31.3 km - 32.2 km,99,31.3,32.2
Senior citizen card fare,All other timings,32.3 km - 33.2 km,99,32.3,33.2
Senior citizen card fare,All other timings,33.3 km - 34.2 km,99,33.3,34.2
